subject,condition,studyResp,studyResp2,named,afc,whichItem,trial
3,2,3,3,0,0,183,165
3,2,3,3,1,1,25,166
3,3,2,1,1,1,5,167
3,1,99999,99999,1,1,163,168
3,1,99999,99999,0,0,153,169
3,4,3,3,1,1,3,170
3,3,1,2,0,0,76,171
3,2,3,3,0,0,188,172
3,2,3,3,0,0,151,173
3,2,3,NaN,1,0,48,174
3,4,2,2,0,1,11,175
3,2,3,3,1,1,164,176
3,4,2,2,1,1,44,177
3,3,1,2,1,1,104,178
3,3,2,1,1,1,121,179
3,1,99999,99999,0,0,197,180
3,4,3,3,0,0,173,181
3,3,1,2,0,0,145,182
3,2,3,3,0,0,51,183
3,4,3,3,0,1,168,184
3,3,2,2,0,1,21,185
3,4,3,3,1,1,115,186
3,1,99999,99999,0,1,144,187
3,4,2,2,1,1,101,188
3,1,99999,99999,0,0,43,189
3,2,3,3,1,1,38,190
3,1,99999,99999,1,1,4,191
3,4,2,3,0,1,94,192
3,1,99999,99999,0,0,47,193
3,3,3,2,1,1,14,194
3,1,99999,99999,0,0,172,195
3,1,99999,99999,1,0,69,196
3,1,99999,99999,0,1,82,197
3,1,99999,99999,0,1,96,198
3,3,2,2,0,1,39,199
3,3,1,2,0,0,68,200
4,1,99999,99999,0,0,128,1
4,1,99999,99999,0,1,11,2
4,4,2,3,1,1,117,3
4,2,3,3,1,1,89,4
4,4,3,3,0,1,168,5
4,4,2,2,1,1,113,6
4,4,1,2,0,1,101,7
4,4,3,3,0,1,62,8
4,4,3,3,1,1,138,9
4,4,3,3,1,1,59,10
4,4,3,3,1,1,167,11
4,4,3,3,1,1,31,12
4,4,3,3,1,1,155,13
4,2,3,NaN,1,1,140,14
4,4,3,3,0,0,197,15
4,1,99999,99999,1,1,26,16
4,3,1,1,0,1,161,17
4,3,1,1,1,1,116,18
4,2,3,3,1,1,151,19
4,4,2,3,0,1,102,20
4,4,3,3,0,1,130,21
4,1,99999,99999,0,1,15,22
4,3,2,2,1,1,84,23
4,4,2,2,1,1,82,24
4,3,1,1,0,1,186,25
4,1,99999,99999,0,0,76,26
4,1,99999,99999,0,1,103,27
4,4,1,2,0,1,126,28
4,4,3,3,0,1,99,29
4,1,99999,99999,0,1,39,30
4,2,3,3,0,1,45,31
4,3,2,2,0,0,141,32
4,1,99999,99999,0,0,132,33
4,4,3,3,0,0,152,34
4,1,99999,99999,1,1,170,35
4,1,99999,99999,1,1,14,36
4,2,3,3,0,1,46,37
4,3,1,0,1,1,118,38
4,2,2,3,0,1,162,39
4,4,2,3,0,0,145,40
4,4,3,3,1,1,23,41
4,2,3,3,1,1,181,42
4,3,1,2,1,1,107,43
4,3,1,1,1,1,121,44
4,4,3,2,0,1,72,45
4,1,99999,99999,1,1,133,46
4,3,2,3,1,1,74,47
4,2,3,3,1,1,92,48
4,2,3,3,0,1,150,49
4,4,2,3,0,0,180,50
4,1,99999,99999,0,0,198,51
4,1,99999,99999,1,1,3,52
4,4,3,3,1,1,51,53
4,4,3,3,1,1,17,54
4,3,0,1,1,0,175,55
4,2,3,3,1,1,97,56
4,3,1,1,1,1,4,57
4,1,99999,99999,1,1,65,58
4,3,1,2,0,1,196,59
4,2,3,3,0,1,96,60
4,2,3,3,1,1,105,61
4,2,NaN,NaN,0,0,42,62
4,3,1,1,0,1,110,63
4,2,3,3,1,1,188,64
4,1,99999,99999,1,1,48,65
4,2,3,3,1,1,43,66
4,3,0,1,1,1,112,67
4,3,1,2,1,1,142,68
4,1,99999,99999,0,1,173,69
4,2,3,3,0,1,66,70
4,2,3,3,0,0,190,71
4,4,3,3,1,1,177,72
4,4,3,3,1,1,34,73
4,2,3,3,1,1,127,74
4,1,99999,99999,1,1,88,75
4,3,1,2,1,1,50,76
4,4,3,3,0,1,85,77
4,1,99999,99999,1,1,28,78
4,2,3,3,1,0,124,79
4,1,99999,99999,1,1,182,80
4,4,2,3,1,1,122,81
4,2,3,3,0,1,95,82
4,3,2,2,0,1,71,83
4,2,3,3,0,0,120,84
4,4,3,3,1,1,13,85
4,3,1,1,1,1,109,86
4,2,3,NaN,1,1,52,87
4,2,3,3,1,1,144,88
4,4,3,3,1,1,58,89
4,1,99999,99999,1,1,114,90
4,4,3,3,1,1,147,91
4,3,1,2,1,1,163,92
4,3,3,3,0,1,64,93
4,1,99999,99999,0,1,184,94
4,4,3,3,1,0,61,95
4,3,1,1,0,1,160,96
4,2,3,3,0,1,119,97
4,3,1,2,0,1,2,98
4,4,2,2,0,1,199,99
4,2,3,3,1,1,30,100
4,3,1,1,1,1,78,101
4,3,1,1,1,1,125,102
4,1,99999,99999,0,0,53,103
4,3,2,1,0,1,94,104
4,2,3,3,1,1,100,105
4,4,3,3,1,1,32,106
4,4,3,3,1,1,25,107
4,2,3,3,1,1,55,108
4,3,1,1,0,1,115,109
4,1,99999,99999,1,1,176,110
4,3,1,1,0,1,106,111
4,3,1,1,0,1,73,112
4,2,3,3,1,1,165,113
4,2,3,3,0,1,70,114
4,1,99999,99999,1,1,77,115
4,1,99999,99999,0,1,1,116
4,1,99999,99999,1,1,67,117
4,2,3,3,0,1,134,118
4,2,3,NaN,1,1,146,119
4,3,1,1,1,0,164,120
4,1,99999,99999,0,1,185,121
4,1,99999,99999,0,1,179,122
4,4,2,3,1,1,63,123
4,4,3,3,1,1,5,124
4,3,1,1,0,1,68,125
4,4,2,2,1,1,57,126
4,4,3,3,0,0,9,127
4,3,2,2,1,1,90,128
4,1,99999,99999,1,1,81,129
4,1,99999,99999,1,1,7,130
4,3,1,2,1,1,37,131
4,1,99999,99999,1,1,35,132
4,4,3,3,0,1,129,133
4,3,1,1,0,1,47,134
4,4,3,3,1,1,189,135
4,2,3,3,0,1,158,136
4,4,3,3,1,1,56,137
