subject,condition,studyResp,named,whichItem,trial
5,3,0,0,52,192
5,4,2,0,174,193
5,1,0,0,53,194
5,3,1,0,41,195
5,3,0,0,14,196
5,2,1,0,102,197
5,2,1,0,54,198
5,2,1,0,181,199
5,2,0,0,146,200
6,3,1,0,3,1
6,2,0,1,50,2
6,2,0,0,19,3
6,3,2,0,188,4
6,2,0,1,151,5
6,1,1,0,178,6
6,1,0,0,85,7
6,4,1,0,123,8
6,1,0,0,53,9
6,1,0,0,41,10
6,4,1,0,162,11
6,1,0,0,9,12
6,1,1,0,148,13
6,2,1,0,98,14
6,2,0,0,62,15
6,3,1,0,102,16
6,1,1,0,97,17
6,3,1,0,111,18
6,3,1,0,156,19
6,3,1,0,198,20
6,2,0,0,132,21
6,4,0,0,143,22
6,1,0,1,130,23
6,2,0,0,158,24
6,3,1,0,52,25
6,2,1,0,181,26
6,2,0,0,194,27
6,1,1,0,128,28
6,1,0,0,29,29
6,4,0,1,8,30
6,2,0,0,172,31
6,3,1,0,126,32
6,3,0,0,14,33
6,4,0,0,108,34
6,4,1,0,11,35
6,4,0,0,131,36
6,3,0,0,27,37
6,3,0,0,186,38
6,2,0,0,166,39
6,2,1,0,173,40
6,2,1,0,114,41
6,2,0,0,177,42
6,1,1,0,26,43
6,1,1,0,47,44
6,3,1,0,169,45
6,1,0,0,190,46
6,4,0,0,125,47
6,1,1,1,170,48
6,3,0,0,89,49
6,1,1,1,183,50
6,1,1,0,60,51
6,1,0,0,70,52
6,3,1,1,78,53
6,2,1,0,2,54
6,3,1,0,135,55
6,2,1,0,200,56
6,3,0,0,33,57
6,3,0,0,94,58
6,2,0,0,161,59
6,1,1,1,109,60
6,4,0,0,137,61
6,1,1,0,4,62
6,2,1,1,12,63
6,3,1,0,176,64
6,3,1,0,182,65
6,1,0,0,179,66
6,3,0,1,192,67
6,3,0,0,129,68
6,2,0,0,157,69
6,4,1,0,119,70
6,1,0,0,153,71
6,2,1,0,113,72
6,3,0,0,73,73
6,4,0,0,160,74
6,3,0,0,195,75
6,2,0,0,75,76
6,1,1,0,121,77
6,4,0,0,104,78
6,1,0,1,15,79
6,1,1,0,71,80
6,3,0,0,134,81
6,4,0,0,155,82
6,1,0,0,22,83
6,1,0,0,154,84
6,4,1,0,150,85
6,2,0,0,40,86
6,4,0,0,72,87
6,3,0,0,180,88
6,1,0,0,63,89
6,2,0,0,10,90
6,1,0,0,24,91
6,3,0,0,116,92
6,3,0,0,103,93
6,2,0,0,145,94
6,3,0,1,48,95
6,2,0,0,117,96
6,4,1,0,107,97
6,2,0,0,86,98
6,1,0,0,23,99
6,4,0,0,67,100
6,1,0,0,77,101
6,1,1,0,35,102
6,3,0,0,163,103
6,2,0,0,105,104
6,3,0,0,91,105
6,3,0,0,25,106
6,1,0,1,31,107
6,2,1,0,37,108
6,4,0,0,36,109
6,4,1,0,191,110
6,3,0,1,20,111
6,4,1,0,59,112
6,3,0,0,51,113
6,2,0,0,141,114
6,2,0,0,99,115
6,4,1,0,120,116
6,1,0,0,69,117
6,3,1,0,127,118
6,3,0,0,76,119
6,4,0,1,144,120
6,3,0,0,168,121
6,2,1,0,16,122
6,3,1,0,43,123
6,4,1,0,90,124
6,2,0,0,61,125
6,2,0,1,138,126
6,4,0,1,106,127
6,3,1,0,124,128
6,1,0,1,83,129
6,2,1,0,64,130
6,1,0,0,92,131
6,2,0,1,32,132
6,4,0,0,175,133
6,3,0,0,139,134
6,2,1,0,147,135
6,1,1,0,1,136
6,4,0,0,174,137
6,3,0,1,17,138
6,2,0,0,96,139
6,4,1,0,54,140
6,2,0,0,133,141
6,1,0,0,187,142
6,3,0,0,199,143
6,4,0,0,140,144
6,2,0,0,115,145
6,3,0,0,118,146
6,1,0,0,110,147
6,4,1,0,68,148
6,4,1,0,58,149
6,4,1,0,152,150
6,4,0,0,197,151
6,2,0,1,79,152
6,2,0,0,28,153
6,1,0,0,39,154
